Species,Type,Normal_1991_2020_MAP_aea,Normal_1991_2020_MAT_aea,Normal_1991_2020_MCMT_aea,Normal_1991_2020_MSP_aea,Normal_1991_2020_MWMT_aea,Normal_1991_2020_NFFD_aea,Normal_1991_2020_PPT_sm_aea,Normal_1991_2020_PPT_sp_aea,Normal_1991_2020_PPT_wt_aea,Normal_1991_2020_RH_aea,Normal_1991_2020_SHM_aea,Normal_1991_2020_Tave_at_aea,Normal_1991_2020_Tave_sm_aea,Normal_1991_2020_Tave_sp_aea,Normal_1991_2020_Tave_wt_aea,Normal_1991_2020_TD_aea
Rana luteiventris,1,585.0490112,1.091300249,-9.306162834,315.9560852,12.3936882,122.4690933,197.7266693,151.5792236,98.41756439,59,39.1509552,1.398040414,10.94964886,0.591501236,-8.602908134,21.70358467
Rana luteiventris,1,745.5296021,2.724989176,-7.367678165,322.3543396,14.17176056,148.1956635,185.2261047,224.1674042,181.0413818,63.51057434,44.04540253,3.28264308,12.67204857,1.678700447,-6.769674301,21.53864098
Rana luteiventris,1,622.041748,2.865802526,-7.400585175,298.1198425,14.36522961,151,172.7788239,173.2636108,130.6803589,64.01058197,48.24783707,3.166563749,12.95818424,2.030117989,-6.601058006,21.76361847
Rana luteiventris,1,549.6844482,3.053004503,-7.619184971,337.3659973,14.44729424,140.1320496,212.8520508,158.7664185,69.22280121,55,42.91022491,3.647870302,13.14098358,2.555093765,-7.124194622,22.10841179
Rana luteiventris,1,538.9668579,3.180196285,-7.529755592,329.9391479,14.57574844,141.4394684,207.9865417,156.5610352,68.25049591,55,44.1631813,3.780221224,13.18062782,2.688350916,-7.025025368,22.20000076
Rana luteiventris,1,560.3529053,2.701520205,-7.781558514,344.0032959,14.10151672,136.316803,215.117569,160.3935547,68.11011505,56.00483704,40.96294785,3.315316439,12.72754192,2.020054102,-7.284643173,21.90763855
Rana luteiventris,1,533.5548706,0.89244312,-9.482445717,298.5420837,11.99557686,116.1641006,193.8862457,134.1292572,83.47135925,58,40.13065338,1.113670945,10.59210587,0.491210967,-8.61822319,21.48171043
Rana luteiventris,1,531.3912354,1.718557835,-8.800000191,306.6908875,13.27730942,126,189.966629,147.2118683,85.43425751,57,43.40829086,2.43104887,11.93093586,0.800000012,-8.353891373,22.11249161
Rana luteiventris,1,644.7549438,0.348145425,-9.978382111,351.8340454,11.41453648,110.7630081,219.3199158,170.4103241,104.8443527,58.34521103,32.80583572,0.61279577,10.01139259,-0.084803492,-9.07582283,21.38920975
Rana luteiventris,1,637.6442261,2.33850193,-8.050578117,383.6461792,13.58598995,133.0700531,239.5876312,180.1054535,82.86405182,56.0700531,35.43315887,2.892994642,12.28364754,1.687717199,-7.599999905,21.59299469
